Year,City,Sport,Discipline,Country,Gender,Event,Medal,Athlete
1992,Albertville,Skiing,Ski Jumping,AUT,Men,K120 Individual (90M),Bronze,"KUTTIN, Heinz"
1992,Albertville,Skiing,Ski Jumping,AUT,Men,K120 Individual (90M),Silver,"HOELLWARTH, Martin"
1992,Albertville,Skiing,Ski Jumping,AUT,Men,K90 Individual (70M),Gold,"VETTORI, Ernst"
1992,Albertville,Skiing,Ski Jumping,AUT,Men,K90 Individual (70M),Silver,"HOELLWARTH, Martin"
1992,Albertville,Skiing,Ski Jumping,FIN,Men,K120 Individual (90M),Gold,"NIEMINEN, Toni"
1992,Albertville,Skiing,Ski Jumping,FIN,Men,K90 Individual (70M),Bronze,"NIEMINEN, Toni"
1992,Albertville,Skiing,Ski Jumping,AUT,Men,K120 Team (90M),Silver,AUT
1992,Albertville,Skiing,Ski Jumping,FIN,Men,K120 Team (90M),Gold,FIN
1992,Albertville,Skiing,Ski Jumping,TCH,Men,K120 Team (90M),Bronze,TCH
1994,Lillehammer,Biathlon,Biathlon,BLR,Women,7.5KM,Silver,"PARAMYGINA, Svetlana"
1994,Lillehammer,Biathlon,Biathlon,CAN,Women,15KM,Gold,"BEDARD, Myriam"
1994,Lillehammer,Biathlon,Biathlon,CAN,Women,7.5KM,Gold,"BEDARD, Myriam"
1994,Lillehammer,Biathlon,Biathlon,FRA,Women,15KM,Silver,"BRIAND BOUTHIAUX, Anne"
1994,Lillehammer,Biathlon,Biathlon,GER,Men,10KM,Silver,"GROSS, Ricco"
1994,Lillehammer,Biathlon,Biathlon,GER,Men,20KM,Bronze,"FISCHER, Sven"
1994,Lillehammer,Biathlon,Biathlon,GER,Men,20KM,Silver,"LUCK, Frank"
1994,Lillehammer,Biathlon,Biathlon,GER,Women,15KM,Bronze,"DISL, Uschi"
1994,Lillehammer,Biathlon,Biathlon,RUS,Men,10KM,Bronze,"TARASOV, Sergei"
1994,Lillehammer,Biathlon,Biathlon,RUS,Men,10KM,Gold,"TCHEPIKOV, Sergei"
1994,Lillehammer,Biathlon,Biathlon,RUS,Men,20KM,Gold,"TARASOV, Sergei"
1994,Lillehammer,Biathlon,Biathlon,UKR,Women,7.5KM,Bronze,"TSERBE-NESSINA, Valentyna"
1994,Lillehammer,Biathlon,Biathlon,FRA,Men,4X7.5KM Relay,Bronze,FRA
1994,Lillehammer,Biathlon,Biathlon,FRA,Women,4X7.5KM Relay,Bronze,FRA
1994,Lillehammer,Biathlon,Biathlon,GER,Men,4X7.5KM Relay,Gold,GER
1994,Lillehammer,Biathlon,Biathlon,GER,Women,4X7.5KM Relay,Silver,GER
1994,Lillehammer,Biathlon,Biathlon,RUS,Men,4X7.5KM Relay,Silver,RUS
1994,Lillehammer,Biathlon,Biathlon,RUS,Women,4X7.5KM Relay,Gold,RUS
1994,Lillehammer,Bobsleigh,Bobsleigh,GER,Men,Four-Man,Bronze,GER
1994,Lillehammer,Bobsleigh,Bobsleigh,GER,Men,Four-Man,Gold,GER
1994,Lillehammer,Bobsleigh,Bobsleigh,ITA,Men,Two-Man,Bronze,ITA
1994,Lillehammer,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Silver,SUI
1994,Lillehammer,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Gold,SUI
1994,Lillehammer,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Silver,SUI
1994,Lillehammer,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Silver,CAN
1994,Lillehammer,Ice Hockey,Ice Hockey,FIN,Men,Ice Hockey,Bronze,FIN
1994,Lillehammer,Ice Hockey,Ice Hockey,SWE,Men,Ice Hockey,Gold,SWE
1994,Lillehammer,Luge,Luge,AUT,Men,Singles,Silver,"PROCK, Markus"
1994,Lillehammer,Luge,Luge,AUT,Women,Singles,Bronze,"TAGWERKER, Andrea"
1994,Lillehammer,Luge,Luge,GER,Men,Singles,Gold,"HACKL, Georg"
1994,Lillehammer,Luge,Luge,GER,Women,Singles,Silver,"ERDMANN, Susi-Lisa"
1994,Lillehammer,Luge,Luge,ITA,Men,Singles,Bronze,"ZOEGGELER, Armin"
1994,Lillehammer,Luge,Luge,ITA,Women,Singles,Gold,"WEISSENSTEINER, Gerda"
1994,Lillehammer,Luge,Luge,GER,Men,Doubles,Bronze,GER
1994,Lillehammer,Luge,Luge,ITA,Men,Doubles,Gold,ITA
1994,Lillehammer,Luge,Luge,ITA,Men,Doubles,Silver,ITA
1994,Lillehammer,Skating,Figure skating,CAN,Men,Individual,Silver,"STOJKO, Elvis"
1994,Lillehammer,Skating,Figure skating,CAN,Men,Pairs,Bronze,"EISLER, Lloyd"
1994,Lillehammer,Skating,Figure skating,CAN,Women,Pairs,Bronze,"BRASSEUR, Isabelle"
1994,Lillehammer,Skating,Figure skating,CHN,Women,Individual,Bronze,"CHEN, Lu"
1994,Lillehammer,Skating,Figure skating,FRA,Men,Individual,Bronze,"CANDELORO, Philippe"
1994,Lillehammer,Skating,Figure skating,GBR,Men,Ice Dancing,Bronze,"DEAN, Christopher"
1994,Lillehammer,Skating,Figure skating,GBR,Women,Ice Dancing,Bronze,"TORVILL, Jayne"
1994,Lillehammer,Skating,Figure skating,RUS,Men,Ice Dancing,Gold,"PLATOV, Evgeny"
1994,Lillehammer,Skating,Figure skating,RUS,Men,Ice Dancing,Silver,"ZHULIN, Aleksandr"
1994,Lillehammer,Skating,Figure skating,RUS,Men,Individual,Gold,"URMANOV, Aleksei"
1994,Lillehammer,Skating,Figure skating,RUS,Men,Pairs,Gold,"GRINKOV, Sergey"
1994,Lillehammer,Skating,Figure skating,RUS,Men,Pairs,Silver,"DMITRIYEV, Artur"
1994,Lillehammer,Skating,Figure skating,RUS,Women,Ice Dancing,Gold,"GRISCHUK, Pasha"
1994,Lillehammer,Skating,Figure skating,RUS,Women,Ice Dancing,Silver,"USOVA, Maya"
1994,Lillehammer,Skating,Figure skating,RUS,Women,Pairs,Gold,"GORDEYEVA, Yekaterina"
1994,Lillehammer,Skating,Figure skating,RUS,Women,Pairs,Silver,"MISHKUTYONOK, Natalya"
1994,Lillehammer,Skating,Figure skating,UKR,Women,Individual,Gold,"BAIUL, Oksana"
1994,Lillehammer,Skating,Figure skating,USA,Women,Individual,Silver,"KERRIGAN, Nancy"
1994,Lillehammer,Skating,Short Track Speed Skating,CAN,Men,1000M,Bronze,"GAGNON, Marc"
1994,Lillehammer,Skating,Short Track Speed Skating,CAN,Women,1000M,Silver,"LAMBERT, Nathalie"
1994,Lillehammer,Skating,Short Track Speed Skating,CHN,Women,500M,Silver,"ZHANG, Yanmei"
1994,Lillehammer,Skating,Short Track Speed Skating,GBR,Men,500M,Bronze,"GOOCH, Nicky"
1994,Lillehammer,Skating,Short Track Speed Skating,ITA,Men,500M,Silver,"VUILLERMIN, Mirko"
1994,Lillehammer,Skating,Short Track Speed Skating,KOR,Men,1000M,Gold,"KIM, Ki-Hoon"
1994,Lillehammer,Skating,Short Track Speed Skating,KOR,Men,1000M,Silver,"CHAE, Ji-Hoon"
1994,Lillehammer,Skating,Short Track Speed Skating,KOR,Men,500M,Gold,"CHAE, Ji-Hoon"
1994,Lillehammer,Skating,Short Track Speed Skating,KOR,Women,1000M,Bronze,"KIM, So-Hee"
1994,Lillehammer,Skating,Short Track Speed Skating,KOR,Women,1000M,Gold,"CHUN, Lee-Kyung"
1994,Lillehammer,Skating,Short Track Speed Skating,USA,Women,500M,Bronze,"PETERSON, Amy"
1994,Lillehammer,Skating,Short Track Speed Skating,USA,Women,500M,Gold,"TURNER, Cathy"
1994,Lillehammer,Skating,Short Track Speed Skating,AUS,Men,5000M Relay,Bronze,AUS
1994,Lillehammer,Skating,Short Track Speed Skating,CAN,Women,3000M Relay,Silver,CAN
1994,Lillehammer,Skating,Short Track Speed Skating,ITA,Men,5000M Relay,Gold,ITA
1994,Lillehammer,Skating,Short Track Speed Skating,KOR,Women,3000M Relay,Gold,KOR
1994,Lillehammer,Skating,Short Track Speed Skating,USA,Men,5000M Relay,Silver,USA
1994,Lillehammer,Skating,Short Track Speed Skating,USA,Women,3000M Relay,Bronze,USA
1994,Lillehammer,Skating,Speed skating,AUT,Women,1500M,Gold,"HUNYADY, Emese"
1994,Lillehammer,Skating,Speed skating,AUT,Women,3000M,Silver,"HUNYADY, Emese"
1994,Lillehammer,Skating,Speed skating,BLR,Men,1000M,Silver,"ZHELEZOVSKY, Igor"
1994,Lillehammer,Skating,Speed skating,CAN,Women,500M,Silver,"AUCH, Susan"
1994,Lillehammer,Skating,Speed skating,CHN,Women,1000M,Bronze,"YE, Qiaobo"
1994,Lillehammer,Skating,Speed skating,GER,Women,1000M,Silver,"BAIER-LOEF, Anke"
1994,Lillehammer,Skating,Speed skating,GER,Women,1500M,Bronze,"NIEMANN-STIRNEMANN, Gunda"
1994,Lillehammer,Skating,Speed skating,GER,Women,3000M,Bronze,"PECHSTEIN, Claudia"
1994,Lillehammer,Skating,Speed skating,GER,Women,5000M,Gold,"PECHSTEIN, Claudia"
1994,Lillehammer,Skating,Speed skating,GER,Women,5000M,Silver,"NIEMANN-STIRNEMANN, Gunda"
1994,Lillehammer,Skating,Speed skating,GER,Women,500M,Bronze,"SCHENK, Franziska"
1994,Lillehammer,Skating,Speed skating,JPN,Men,500M,Bronze,"HORII, Manabu"
1994,Lillehammer,Skating,Speed skating,JPN,Women,5000M,Bronze,"YAMAMOTO, Hiromi"
1994,Lillehammer,Skating,Speed skating,NED,Men,10000M,Bronze,"VELDKAMP, Bart"
1994,Lillehammer,Skating,Speed skating,NED,Men,1500M,Bronze,"ZANDSTRA, Falko"
1994,Lillehammer,Skating,Speed skating,NED,Men,1500M,Silver,"RITSMA, Rintje"
1994,Lillehammer,Skating,Speed skating,NED,Men,5000M,Bronze,"RITSMA, Rintje"
1994,Lillehammer,Skating,Speed skating,NOR,Men,10000M,Gold,"KOSS, Johann Olav"
1994,Lillehammer,Skating,Speed skating,NOR,Men,10000M,Silver,"STORELID, Kjell"
1994,Lillehammer,Skating,Speed skating,NOR,Men,1500M,Gold,"KOSS, Johann Olav"
1994,Lillehammer,Skating,Speed skating,NOR,Men,5000M,Gold,"KOSS, Johann Olav"
1994,Lillehammer,Skating,Speed skating,NOR,Men,5000M,Silver,"STORELID, Kjell"
1994,Lillehammer,Skating,Speed skating,RUS,Men,1000M,Bronze,"KLEVCHENYA, Sergey"
1994,Lillehammer,Skating,Speed skating,RUS,Men,500M,Gold,"GOLUBEV, Aleksandr"
1994,Lillehammer,Skating,Speed skating,RUS,Men,500M,Silver,"KLEVCHENYA, Sergey"
1994,Lillehammer,Skating,Speed skating,RUS,Women,1500M,Silver,"FEDOTKINA, Svetlana"
1994,Lillehammer,Skating,Speed skating,RUS,Women,3000M,Gold,"BAJANOVA, Svetlana"
1994,Lillehammer,Skating,Speed skating,USA,Men,1000M,Gold,"JANSEN, Daniel"
1994,Lillehammer,Skating,Speed skating,USA,Women,1000M,Gold,"BLAIR, Bonnie"
1994,Lillehammer,Skating,Speed skating,USA,Women,500M,Gold,"BLAIR, Bonnie"
1994,Lillehammer,Skiing,Alpine Skiing,AUT,Men,Giant Slalom,Bronze,"MAYER, Christian"
1994,Lillehammer,Skiing,Alpine Skiing,AUT,Men,Slalom,Gold,"STANGASSINGER, Thomas"
1994,Lillehammer,Skiing,Alpine Skiing,AUT,Women,Slalom,Silver,"EDER, Elfriede"
1994,Lillehammer,Skiing,Alpine Skiing,CAN,Men,Downhill,Bronze,"PODIVINSKY, Ed"
1994,Lillehammer,Skiing,Alpine Skiing,GER,Men,Giant Slalom,Gold,"WASMEIER, Markus"
1994,Lillehammer,Skiing,Alpine Skiing,GER,Men,Super-G,Gold,"WASMEIER, Markus"
1994,Lillehammer,Skiing,Alpine Skiing,GER,Women,Downhill,Gold,"SEIZINGER, Katja"
1994,Lillehammer,Skiing,Alpine Skiing,GER,Women,Giant Slalom,Silver,"ERTL, Martina"
1994,Lillehammer,Skiing,Alpine Skiing,ITA,Men,Slalom,Silver,"TOMBA, Alberto"
1994,Lillehammer,Skiing,Alpine Skiing,ITA,Women,Downhill,Bronze,"KOSTNER, Isolde"
1994,Lillehammer,Skiing,Alpine Skiing,ITA,Women,Giant Slalom,Gold,"COMPAGNONI, Deborah"
1994,Lillehammer,Skiing,Alpine Skiing,ITA,Women,Super-G,Bronze,"KOSTNER, Isolde"
1994,Lillehammer,Skiing,Alpine Skiing,NOR,Men,Alpine Combined,Bronze,"STRAND NILSEN, Harald Chr."
1994,Lillehammer,Skiing,Alpine Skiing,NOR,Men,Alpine Combined,Gold,"KJUS, Lasse"
1994,Lillehammer,Skiing,Alpine Skiing,NOR,Men,Alpine Combined,Silver,"AAMODT, Kjetil Andre"
1994,Lillehammer,Skiing,Alpine Skiing,NOR,Men,Downhill,Silver,"AAMODT, Kjetil Andre"
1994,Lillehammer,Skiing,Alpine Skiing,NOR,Men,Super-G,Bronze,"AAMODT, Kjetil Andre"
1994,Lillehammer,Skiing,Alpine Skiing,RUS,Women,Super-G,Silver,"GLADISHEVA, Svetlana"
1994,Lillehammer,Skiing,Alpine Skiing,SLO,Men,Slalom,Bronze,"KOSIR, Jure"
1994,Lillehammer,Skiing,Alpine Skiing,SLO,Women,Alpine Combined,Bronze,"DOVZAN, Alenka"
1994,Lillehammer,Skiing,Alpine Skiing,SLO,Women,Slalom,Bronze,"KOREN, Katja"
1994,Lillehammer,Skiing,Alpine Skiing,SUI,Men,Giant Slalom,Silver,"KAELIN, Urs"
1994,Lillehammer,Skiing,Alpine Skiing,SUI,Women,Alpine Combined,Silver,"SCHNEIDER, Vreni"
1994,Lillehammer,Skiing,Alpine Skiing,SUI,Women,Giant Slalom,Bronze,"SCHNEIDER, Vreni"
1994,Lillehammer,Skiing,Alpine Skiing,SUI,Women,Slalom,Gold,"SCHNEIDER, Vreni"
1994,Lillehammer,Skiing,Alpine Skiing,SWE,Women,Alpine Combined,Gold,"WIBERG, Pernilla"
1994,Lillehammer,Skiing,Alpine Skiing,USA,Men,Downhill,Gold,"MOE, Thomas"
1994,Lillehammer,Skiing,Alpine Skiing,USA,Men,Super-G,Silver,"MOE, Thomas"
1994,Lillehammer,Skiing,Alpine Skiing,USA,Women,Downhill,Silver,"STREET, Picabo"
1994,Lillehammer,Skiing,Alpine Skiing,USA,Women,Super-G,Gold,"ROFFE, Diann"
1994,Lillehammer,Skiing,Cross Country Skiing,FIN,Men,30KM Mass Start,Bronze,"MYLLYLAE, Mika"
1994,Lillehammer,Skiing,Cross Country Skiing,FIN,Men,50KM,Silver,"MYLLYLAE, Mika"
1994,Lillehammer,Skiing,Cross Country Skiing,FIN,Women,30KM,Bronze,"KIRVESNIEMI, Marja-Liisa"
1994,Lillehammer,Skiing,Cross Country Skiing,FIN,Women,5KM,Bronze,"KIRVESNIEMI, Marja-Liisa"
1994,Lillehammer,Skiing,Cross Country Skiing,ITA,Men,10KM Pursuit,Bronze,"ALBARELLO, Marco"
1994,Lillehammer,Skiing,Cross Country Skiing,ITA,Men,Combined 10KM + 15KM Pursuit,Bronze,"FAUNER, Silvio"
1994,Lillehammer,Skiing,Cross Country Skiing,ITA,Women,15KM Mass Start,Gold,"DI CENTA, Manuela"
1994,Lillehammer,Skiing,Cross Country Skiing,ITA,Women,30KM,Gold,"DI CENTA, Manuela"
1994,Lillehammer,Skiing,Cross Country Skiing,ITA,Women,5KM,Silver,"DI CENTA, Manuela"
1994,Lillehammer,Skiing,Cross Country Skiing,ITA,Women,Combined 5KM + 10KM Pursuit,Bronze,"BELMONDO, Stefania"
1994,Lillehammer,Skiing,Cross Country Skiing,ITA,Women,Combined 5KM + 10KM Pursuit,Silver,"DI CENTA, Manuela"
1994,Lillehammer,Skiing,Cross Country Skiing,KAZ,Men,10KM Pursuit,Silver,"SMIRNOV, Vladimir"
1994,Lillehammer,Skiing,Cross Country Skiing,KAZ,Men,50KM,Gold,"SMIRNOV, Vladimir"
1994,Lillehammer,Skiing,Cross Country Skiing,KAZ,Men,Combined 10KM + 15KM Pursuit,Silver,"SMIRNOV, Vladimir"
1994,Lillehammer,Skiing,Cross Country Skiing,NOR,Men,10KM Pursuit,Gold,"DAEHLIE, Björn"
1994,Lillehammer,Skiing,Cross Country Skiing,NOR,Men,30KM Mass Start,Gold,"ALSGAARD, Thomas"
1994,Lillehammer,Skiing,Cross Country Skiing,NOR,Men,30KM Mass Start,Silver,"DAEHLIE, Björn"
1994,Lillehammer,Skiing,Cross Country Skiing,NOR,Men,50KM,Bronze,"SIVERTSEN, Sture"
1994,Lillehammer,Skiing,Cross Country Skiing,NOR,Men,Combined 10KM + 15KM Pursuit,Gold,"DAEHLIE, Björn"
1994,Lillehammer,Skiing,Cross Country Skiing,NOR,Women,30KM,Silver,"MIKKELSPLASS, Marit"
1994,Lillehammer,Skiing,Cross Country Skiing,RUS,Women,15KM Mass Start,Bronze,"GAVRILJUK, Nina"
1994,Lillehammer,Skiing,Cross Country Skiing,RUS,Women,15KM Mass Start,Silver,"EGOROVA, Ljubov"
1994,Lillehammer,Skiing,Cross Country Skiing,RUS,Women,5KM,Gold,"EGOROVA, Ljubov"
1994,Lillehammer,Skiing,Cross Country Skiing,RUS,Women,Combined 5KM + 10KM Pursuit,Gold,"EGOROVA, Ljubov"
1994,Lillehammer,Skiing,Cross Country Skiing,FIN,Men,4X10KM Relay,Bronze,FIN
1994,Lillehammer,Skiing,Cross Country Skiing,ITA,Men,4X10KM Relay,Gold,ITA
1994,Lillehammer,Skiing,Cross Country Skiing,ITA,Women,4X5KM Relay,Bronze,ITA
1994,Lillehammer,Skiing,Cross Country Skiing,NOR,Men,4X10KM Relay,Silver,NOR
1994,Lillehammer,Skiing,Cross Country Skiing,NOR,Women,4X5KM Relay,Silver,NOR
1994,Lillehammer,Skiing,Cross Country Skiing,RUS,Women,4X5KM Relay,Gold,RUS
1994,Lillehammer,Skiing,Freestyle Skiing,CAN,Men,Aerials,Bronze,"LANGLOIS, Lloyd"
1994,Lillehammer,Skiing,Freestyle Skiing,CAN,Men,Aerials,Silver,"LAROCHE, Philippe"
1994,Lillehammer,Skiing,Freestyle Skiing,CAN,Men,Moguls,Gold,"BRASSARD, Jean-Luc"
1994,Lillehammer,Skiing,Freestyle Skiing,FRA,Men,Moguls,Bronze,"GROSPIRON, Edgar"
1994,Lillehammer,Skiing,Freestyle Skiing,NOR,Women,Aerials,Bronze,"LID, Hilde Synnove"
1994,Lillehammer,Skiing,Freestyle Skiing,NOR,Women,Moguls,Gold,"HATTESTAD, Stine Lise"
1994,Lillehammer,Skiing,Freestyle Skiing,RUS,Men,Moguls,Silver,"SHUPLETSOV, Sergei"
1994,Lillehammer,Skiing,Freestyle Skiing,RUS,Women,Moguls,Bronze,"KOZHEVNIKOVA, Yelizaveta"
1994,Lillehammer,Skiing,Freestyle Skiing,SUI,Men,Aerials,Gold,"SCHÖNBÄCHLER, Andreas"
1994,Lillehammer,Skiing,Freestyle Skiing,SWE,Women,Aerials,Silver,"LINDGREN, Marie"
1994,Lillehammer,Skiing,Freestyle Skiing,USA,Women,Moguls,Silver,"MCINTYRE, Elizabeth"
1994,Lillehammer,Skiing,Freestyle Skiing,UZB,Women,Aerials,Gold,"CHERYAZOVA, Lina"
1994,Lillehammer,Skiing,Nordic Combined,JPN,Men,Individual,Silver,"KONO, Takanori"
1994,Lillehammer,Skiing,Nordic Combined,NOR,Men,Individual,Bronze,"VIK, Bjarte Engen"
1994,Lillehammer,Skiing,Nordic Combined,NOR,Men,Individual,Gold,"LUNDBERG, Fred Boerre"
1994,Lillehammer,Skiing,Nordic Combined,JPN,Men,Team,Gold,JPN
1994,Lillehammer,Skiing,Nordic Combined,NOR,Men,Team,Silver,NOR
1994,Lillehammer,Skiing,Nordic Combined,SUI,Men,Team,Bronze,SUI
1994,Lillehammer,Skiing,Ski Jumping,AUT,Men,K120 Individual (90M),Bronze,"GOLDBERGER, Andreas"
1994,Lillehammer,Skiing,Ski Jumping,GER,Men,K120 Individual (90M),Gold,"WEISSFLOG, Jens"
1994,Lillehammer,Skiing,Ski Jumping,GER,Men,K90 Individual (70M),Bronze,"THOMA, Dieter"
1994,Lillehammer,Skiing,Ski Jumping,NOR,Men,K120 Individual (90M),Silver,"BREDESEN, Espen"
1994,Lillehammer,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Gold,"BREDESEN, Espen"
1994,Lillehammer,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Silver,"OTTESEN, Lasse"
1994,Lillehammer,Skiing,Ski Jumping,AUT,Men,K120 Team (90M),Bronze,AUT
1994,Lillehammer,Skiing,Ski Jumping,GER,Men,K120 Team (90M),Gold,GER
1994,Lillehammer,Skiing,Ski Jumping,JPN,Men,K120 Team (90M),Silver,JPN
1998,Nagano,Biathlon,Biathlon,BLR,Men,20KM,Bronze,"AIDAROV, Aleksei"
1998,Nagano,Biathlon,Biathlon,BUL,Women,15KM,Gold,"DAFOVSKA, Ekaterina"
1998,Nagano,Biathlon,Biathlon,FIN,Men,10KM,Bronze,"RAIKKONEN, Ville"
1998,Nagano,Biathlon,Biathlon,GER,Women,15KM,Bronze,"DISL, Uschi"
1998,Nagano,Biathlon,Biathlon,GER,Women,7.5KM,Bronze,"APEL, Katrin"
1998,Nagano,Biathlon,Biathlon,GER,Women,7.5KM,Silver,"DISL, Uschi"
1998,Nagano,Biathlon,Biathlon,ITA,Men,20KM,Silver,"CARRARA, Pier Alberto"
1998,Nagano,Biathlon,Biathlon,NOR,Men,10KM,Gold,"BJOERNDALEN, Ole Einar"
1998,Nagano,Biathlon,Biathlon,NOR,Men,10KM,Silver,"ANDRESEN, Frode"
1998,Nagano,Biathlon,Biathlon,NOR,Men,20KM,Gold,"HANEVOLD, Halvard"
1998,Nagano,Biathlon,Biathlon,RUS,Women,7.5KM,Gold,"KOUKLEVA, Galina"
1998,Nagano,Biathlon,Biathlon,UKR,Women,15KM,Silver,"PETROVA, Olena"
1998,Nagano,Biathlon,Biathlon,GER,Men,4X7.5KM Relay,Gold,GER
1998,Nagano,Biathlon,Biathlon,GER,Women,4X7.5KM Relay,Gold,GER
1998,Nagano,Biathlon,Biathlon,NOR,Men,4X7.5KM Relay,Silver,NOR
1998,Nagano,Biathlon,Biathlon,NOR,Women,4X7.5KM Relay,Bronze,NOR
1998,Nagano,Biathlon,Biathlon,RUS,Men,4X7.5KM Relay,Bronze,RUS
1998,Nagano,Biathlon,Biathlon,RUS,Women,4X7.5KM Relay,Silver,RUS
1998,Nagano,Bobsleigh,Bobsleigh,CAN,Men,Two-Man,Gold,CAN
1998,Nagano,Bobsleigh,Bobsleigh,FRA,Men,Four-Man,Bronze,FRA
1998,Nagano,Bobsleigh,Bobsleigh,GBR,Men,Four-Man,Bronze,GBR
1998,Nagano,Bobsleigh,Bobsleigh,GER,Men,Four-Man,Gold,GER
1998,Nagano,Bobsleigh,Bobsleigh,GER,Men,Two-Man,Bronze,GER
1998,Nagano,Bobsleigh,Bobsleigh,ITA,Men,Two-Man,Gold,ITA
1998,Nagano,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Silver,SUI
1998,Nagano,Curling,Curling,CAN,Men,Curling,Silver,CAN
1998,Nagano,Curling,Curling,CAN,Women,Curling,Gold,CAN
1998,Nagano,Curling,Curling,DEN,Women,Curling,Silver,DEN
1998,Nagano,Curling,Curling,NOR,Men,Curling,Bronze,NOR
1998,Nagano,Curling,Curling,SUI,Men,Curling,Gold,SUI
1998,Nagano,Curling,Curling,SWE,Women,Curling,Bronze,SWE
1998,Nagano,Ice Hockey,Ice Hockey,CAN,Women,Ice Hockey,Silver,CAN
1998,Nagano,Ice Hockey,Ice Hockey,CZE,Men,Ice Hockey,Gold,CZE
1998,Nagano,Ice Hockey,Ice Hockey,FIN,Men,Ice Hockey,Bronze,FIN
1998,Nagano,Ice Hockey,Ice Hockey,FIN,Women,Ice Hockey,Bronze,FIN
1998,Nagano,Ice Hockey,Ice Hockey,RUS,Men,Ice Hockey,Silver,RUS
1998,Nagano,Ice Hockey,Ice Hockey,USA,Women,Ice Hockey,Gold,USA
1998,Nagano,Luge,Luge,AUT,Women,Singles,Bronze,"NEUNER, Angelika"
1998,Nagano,Luge,Luge,GER,Men,Singles,Bronze,"MUELLER, Jens"
1998,Nagano,Luge,Luge,GER,Men,Singles,Gold,"HACKL, Georg"
1998,Nagano,Luge,Luge,GER,Women,Singles,Gold,"KRAUSHAAR, Silke"
1998,Nagano,Luge,Luge,GER,Women,Singles,Silver,"NIEDERNHUBER, Barbara"
1998,Nagano,Luge,Luge,ITA,Men,Singles,Silver,"ZOEGGELER, Armin"
1998,Nagano,Luge,Luge,GER,Men,Doubles,Gold,GER
1998,Nagano,Luge,Luge,USA,Men,Doubles,Bronze,USA
1998,Nagano,Luge,Luge,USA,Men,Doubles,Silver,USA
1998,Nagano,Skating,Figure skating,CAN,Men,Individual,Silver,"STOJKO, Elvis"
1998,Nagano,Skating,Figure skating,CHN,Women,Individual,Bronze,"CHEN, Lu"
1998,Nagano,Skating,Figure skating,FRA,Men,Ice Dancing,Bronze,"PEIZERAT, Gwendal"
1998,Nagano,Skating,Figure skating,FRA,Men,Individual,Bronze,"CANDELORO, Philippe"
1998,Nagano,Skating,Figure skating,FRA,Women,Ice Dancing,Bronze,"ANISSINA, Marina"
1998,Nagano,Skating,Figure skating,GER,Men,Pairs,Bronze,"STEUER, Ingo"
1998,Nagano,Skating,Figure skating,GER,Women,Pairs,Bronze,"WOTZEL, Mandy"
1998,Nagano,Skating,Figure skating,RUS,Men,Ice Dancing,Gold,"PLATOV, Evgeny"
1998,Nagano,Skating,Figure skating,RUS,Men,Ice Dancing,Silver,"OVSYANNIKOV, Oleg"
1998,Nagano,Skating,Figure skating,RUS,Men,Individual,Gold,"KULIK, Ilia"
1998,Nagano,Skating,Figure skating,RUS,Men,Pairs,Gold,"DMITRIYEV, Artur"
1998,Nagano,Skating,Figure skating,RUS,Men,Pairs,Silver,"SIKHARULIDZE, Anton"
1998,Nagano,Skating,Figure skating,RUS,Women,Ice Dancing,Gold,"GRISCHUK, Pasha"
1998,Nagano,Skating,Figure skating,RUS,Women,Ice Dancing,Silver,"KRYLOVA, Anjelika"
1998,Nagano,Skating,Figure skating,RUS,Women,Pairs,Gold,"KAZAKOVA, Oksana"
1998,Nagano,Skating,Figure skating,RUS,Women,Pairs,Silver,"BEREZHNAYA, Elena"
1998,Nagano,Skating,Figure skating,USA,Women,Individual,Gold,"LIPINSKI, Tara"
1998,Nagano,Skating,Figure skating,USA,Women,Individual,Silver,"KWAN, Michelle"
1998,Nagano,Skating,Short Track Speed Skating,CAN,Men,1000M,Bronze,"BEDARD, Eric"
1998,Nagano,Skating,Short Track Speed Skating,CAN,Women,500M,Gold,"PERREAULT, Annie"
1998,Nagano,Skating,Short Track Speed Skating,CHN,Men,1000M,Silver,"LI, JiaJun"
1998,Nagano,Skating,Short Track Speed Skating,CHN,Men,500M,Silver,"AN, Yulong"
1998,Nagano,Skating,Short Track Speed Skating,CHN,Women,1000M,Silver,"YANG (S), Yang"
1998,Nagano,Skating,Short Track Speed Skating,CHN,Women,500M,Silver,"YANG (S), Yang"
1998,Nagano,Skating,Short Track Speed Skating,JPN,Men,500M,Bronze,"UEMATSU, Hitoshi"
1998,Nagano,Skating,Short Track Speed Skating,JPN,Men,500M,Gold,"NISHITANI, Takafumi"
1998,Nagano,Skating,Short Track Speed Skating,KOR,Men,1000M,Gold,"KIM, Dong-Sung"
1998,Nagano,Skating,Short Track Speed Skating,KOR,Women,1000M,Bronze,"WON, Hye-Kyung"
1998,Nagano,Skating,Short Track Speed Skating,KOR,Women,1000M,Gold,"CHUN, Lee-Kyung"
