Year,Date ,Time ,HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance
1972,27-Feb-72,,Zaire , Congo,2,0,Group B,,Stade de la Réunification, Douala,
1972,29-Feb-72,,Morocco , Zaire,1,1,Group B,,Stade de la Réunification, Douala,
1972,29-Feb-72,,Congo , Sudan,4,2,Group B,,Stade de la Réunification, Douala,
1972,2-Mar-72,,Cameroon , Congo,0,1,Semifinals,,Stade Omnisports, Yaoundé,
1972,2-Mar-72,,Zaire , Mali,3,4,Semifinals, win after extra time ,Stade de la Réunification, Douala,
1972,4-Mar-72,,Cameroon , Zaire,5,2,Third place match,,Stade Omnisports, Yaoundé,
1972,5-Mar-72,,Congo , Mali,3,2,Final,,Stade Omnisports, Yaoundé,
1974,1-Mar-74,,Egypt , Uganda,2,1,Group A,,Cairo International Stadium, Cairo,5000
1974,2-Mar-74,,Zambia , Ivory Coast,1,0,Group A,,El Mahalla Stadium, El-Mahalla El-Kubra,1000
1974,4-Mar-74,,Egypt , Zambia,3,1,Group A,,Cairo International Stadium, Cairo,
1974,4-Mar-74,,Ivory Coast , Uganda,2,2,Group A,,El Mahalla Stadium, El-Mahalla El-Kubra,
1974,6-Mar-74,,Egypt , Ivory Coast,2,0,Group A,,Cairo International Stadium, Cairo,
1974,6-Mar-74,,Zambia , Uganda,1,0,Group A,,El Mahalla Stadium, El-Mahalla El-Kubra,
1974,3-Mar-74,,Zaire , Guinea,2,1,Group B,,Ala'ab Damanhour Stadium, Damanhour,
1974,3-Mar-74,,Congo , Mauritius,2,0,Group B,,Alexandria Stadium, Alexandria,
1974,5-Mar-74,,Guinea , Mauritius,2,1,Group B,,Ala'ab Damanhour Stadium, Damanhour,
1974,5-Mar-74,,Congo , Zaire,2,1,Group B,,Alexandria Stadium, Alexandria,
1974,7-Mar-74,,Congo , Guinea,1,1,Group B,,Alexandria Stadium, Alexandria,
1974,7-Mar-74,,Zaire , Mauritius,4,1,Group B,,Ala'ab Damanhour Stadium, Damanhour,
1974,9-Mar-74,,Egypt , Zaire,2,3,Semifinals,,Cairo International Stadium, Cairo,
1974,9-Mar-74,,Congo , Zambia,2,4,Semifinals, win after extra time ,Alexandria Stadium, Alexandria,
1974,11-Mar-74,,Congo , Egypt,0,4,Third place match,,Cairo International Stadium, Cairo,
1974,12-Mar-74,,Zaire , Zambia,2,2,Final, win after extra time ,Cairo International Stadium, Cairo,
1974,14-Mar-74,,Zaire , Zambia,2,0,Final,,Cairo International Stadium, Cairo,
1976,29-Feb-76,,Ethiopia , Uganda,2,0,Group A,,Addis Ababa Stadium, Addis Ababa,30000
1976,29-Feb-76,,Egypt , Guinea,1,1,Group A,,Addis Ababa Stadium, Addis Ababa,
1976,3-Mar-76,,Egypt , Uganda,2,1,Group A,,Addis Ababa Stadium, Addis Ababa,
1976,3-Mar-76,,Ethiopia , Guinea,1,2,Group A,,Addis Ababa Stadium, Addis Ababa,
1976,5-Mar-76,,Guinea , Uganda,2,1,Group A,,Addis Ababa Stadium, Addis Ababa,
1976,5-Mar-76,,Ethiopia , Egypt,1,1,Group A,,Addis Ababa Stadium, Addis Ababa,
1976,1-Mar-76,,Nigeria , Zaire,4,2,Group B,,Dire Dawa Stadium, Dire Dawa,
1976,1-Mar-76,,Morocco , Sudan,2,2,Group B,,Dire Dawa Stadium, Dire Dawa,
1976,4-Mar-76,,Nigeria , Sudan,1,0,Group B,,Dire Dawa Stadium, Dire Dawa,
1976,4-Mar-76,,Morocco , Zaire,1,0,Group B,,Dire Dawa Stadium, Dire Dawa,
1976,6-Mar-76,,Morocco , Nigeria,3,1,Group B,,Dire Dawa Stadium, Dire Dawa,
1976,6-Mar-76,,Zaire , Sudan,1,1,Group B,,Dire Dawa Stadium, Dire Dawa,
1976,9-Mar-76,,Guinea , Nigeria,1,1,Group B,,Addis Ababa Stadium, Addis Ababa,
1976,9-Mar-76,,Morocco , Egypt,2,1,Group B,,Addis Ababa Stadium, Addis Ababa,
1976,11-Mar-76,,Morocco , Nigeria,2,1,Group B,,Addis Ababa Stadium, Addis Ababa,
1976,11-Mar-76,,Guinea , Egypt,4,2,Group B,,Addis Ababa Stadium, Addis Ababa,
1976,14-Mar-76,,Nigeria , Egypt,3,2,Group B,,Addis Ababa Stadium, Addis Ababa,
1976,14-Mar-76,,Guinea , Morocco,1,1,Group B,,Addis Ababa Stadium, Addis Ababa,
1978,5-Mar-78,,Ghana , Zambia,2,1,Group A,,Accra Sports Stadium, Accra,50000
1978,5-Mar-78,,Nigeria , Upper Volta,4,2,Group A,,Accra Sports Stadium, Accra,50000
1978,8-Mar-78,,Zambia , Upper Volta,2,0,Group A,,Accra Sports Stadium, Accra,60000
1978,8-Mar-78,,Nigeria , Ghana,1,1,Group A,,Accra Sports Stadium, Accra,60000
1978,10-Mar-78,,Zambia , Nigeria,0,0,Group A,,Accra Sports Stadium, Accra,25000
1978,10-Mar-78,,Ghana , Upper Volta,3,0,Group A,,Accra Sports Stadium, Accra,25000
1978,6-Mar-78,,Morocco , Tunisia,1,1,Group B,,Kumasi Sports Stadium, Kumasi,50000
1978,6-Mar-78,,Uganda , Congo,3,1,Group B,,Kumasi Sports Stadium, Kumasi,50000
1978,9-Mar-78,,Tunisia , Uganda,3,1,Group B,,Kumasi Sports Stadium, Kumasi,20000
1978,9-Mar-78,,Morocco , Congo,1,0,Group B,,Kumasi Sports Stadium, Kumasi,20000
1978,11-Mar-78,,Congo , Tunisia,0,0,Group B,,Kumasi Sports Stadium, Kumasi,10000
1978,11-Mar-78,,Uganda , Morocco,3,0,Group B,,Kumasi Sports Stadium, Kumasi,10000
1978,14-Mar-78,,Ghana , Tunisia,1,0,Semi-finals,,Accra Sports Stadium, Accra,40000
1978,14-Mar-78,,Uganda , Nigeria,2,1,Semi-finals,,Kumasi Sports Stadium, Kumasi,
1978,16-Mar-78,,Nigeria , Tunisia,1,11,Third place match,,Accra Sports Stadium, Accra,
1978,16-Mar-78,,Ghana , Uganda,2,0,Final,,Accra Sports Stadium, Accra,
1980,8-Mar-80,,Nigeria , Tanzania,3,1,Group A,,Surulere Stadium, Lagos,80000
1980,8-Mar-80,,Egypt , Ivory Coast,2,1,Group A,,Surulere Stadium, Lagos,80000
1980,12-Mar-80,,Egypt , Tanzania,2,1,Group A,,Surulere Stadium, Lagos,55000
1980,12-Mar-80,,Nigeria , Ivory Coast,0,0,Group A,,Surulere Stadium, Lagos,55000
1980,15-Mar-80,,Ivory Coast , Tanzania,1,1,Group A,,Surulere Stadium, Lagos,70000
1980,15-Mar-80,,Nigeria , Egypt,1,0,Group A,,Surulere Stadium, Lagos,70000
1980,9-Mar-80,,Ghana , Algeria,0,0,Group B,,Liberty Stadium, Ibadan,40000
1980,9-Mar-80,,Morocco , Guinea,1,1,Group B,,Liberty Stadium, Ibadan,40000
1980,13-Mar-80,,Algeria , Morocco,1,0,Group B,,Liberty Stadium, Ibadan,20000
1980,13-Mar-80,,Ghana , Guinea,1,0,Group B,,Liberty Stadium, Ibadan,20000
1980,16-Mar-80,,Algeria , Guinea,3,2,Group B,,Liberty Stadium, Ibadan,20000
1980,16-Mar-80,,Morocco , Ghana,1,0,Group B,,Liberty Stadium, Ibadan,20000
1980,19-Mar-80,,Nigeria , Morocco,1,0,Semi-finals,,Surulere Stadium, Lagos,70000
1980,19-Mar-80,,Algeria , Egypt,2,2,Semi-finals,,Liberty Stadium, Ibadan,5000
1980,21-Mar-80,,Morocco , Egypt,2,0,Third place match,,Surulere Stadium, Lagos,5000
1980,22-Mar-80,,Nigeria , Algeria,3,0,Final,,Surulere Stadium, Lagos,85000
1982,5-Mar-82,,Libya , Ghana,2,2,Group A,,11 June Stadium, Tripoli,45200
1982,5-Mar-82,,Cameroon , Tunisia,1,1,Group A,,11 June Stadium, Tripoli,45000
1982,9-Mar-82,,Cameroon , Ghana,0,0,Group A,,11 June Stadium, Tripoli,40000
1982,9-Mar-82,,Libya , Tunisia,2,0,Group A,,11 June Stadium, Tripoli,40000
1982,12-Mar-82,,Ghana , Tunisia,1,0,Group A,,11 June Stadium, Tripoli,40000
1982,12-Mar-82,,Libya , Cameroon,0,0,Group A,,11 June Stadium, Tripoli,40000
1982,7-Mar-82,,Nigeria , Ethiopia,3,0,Group B,,28 March Stadium, Benghazi,5000
1982,7-Mar-82,,Algeria , Zambia,1,0,Group B,,28 March Stadium, Benghazi,5000
1982,10-Mar-82,,Zambia , Ethiopia,1,0,Group B,,28 March Stadium, Benghazi,5000
1982,10-Mar-82,,Algeria , Nigeria,2,1,Group B,,28 March Stadium, Benghazi,5000
1982,13-Mar-82,,Algeria , Ethiopia,0,0,Group B,,28 March Stadium, Benghazi,5000
1982,13-Mar-82,,Zambia , Nigeria,3,0,Group B,,28 March Stadium, Benghazi,5000
1982,16-Mar-82,,Ghana , Algeria,3,2,Semifinals, win after extra time ,28 March Stadium, Benghazi,5000
1982,16-Mar-82,,Libya , Zambia,2,1,Semifinals,,11 June Stadium, Tripoli,50000
1982,18-Mar-82,,Zambia , Algeria,2,0,Third place match,,11 June Stadium, Tripoli,2000
1982,19-Mar-82,,Ghana , Libya,1,1,Final,,11 June Stadium, Tripoli,50000
1984,4-Mar-84,,Ivory Coast , Togo,3,0,Group A,,Stade Félix Houphouët-Boigny, Abidjan,50000
1984,4-Mar-84,,Egypt , Cameroon,1,0,Group A,,Stade Félix Houphouët-Boigny, Abidjan,50000
1984,7-Mar-84,,Cameroon , Togo,4,1,Group A,,Stade Félix Houphouët-Boigny, Abidjan,15000
1984,7-Mar-84,,Ivory Coast , Egypt,1,2,Group A,,Stade Félix Houphouët-Boigny, Abidjan,40000
1984,10-Mar-84,,Egypt , Togo,0,0,Group A,,Stade Félix Houphouët-Boigny, Abidjan,40000
1984,10-Mar-84,,Ivory Coast , Cameroon,0,2,Group A,,Stade Félix Houphouët-Boigny, Abidjan,40000
1984,5-Mar-84,,Ghana , Nigeria,1,2,Group B,,Stade Bouaké, Bouaké,10000
1984,5-Mar-84,,Algeria , Malawi,3,0,Group B,,Stade Bouaké, Bouaké,10000
1984,8-Mar-84,,Malawi , Nigeria,2,2,Group B,,Stade Bouaké, Bouaké,15000
1984,8-Mar-84,,Algeria , Ghana,2,0,Group B,,Stade Bouaké, Bouaké,15000
1984,11-Mar-84,,Algeria , Nigeria,0,0,Group B,,Stade Bouaké, Bouaké,3000
1984,11-Mar-84,,Ghana , Malawi,1,0,Group B,,Stade Bouaké, Bouaké,3000
1984,14-Mar-84,,Egypt , Nigeria,2,2,Semifinals, Nigeria win on Penalities 7-8,Stade Félix Houphouët-Boigny, Abidjan,15000
1984,14-Mar-84,,Algeria , Cameroon,0,0,Semifinals, Cameroon win on Penalities 4-5,Stade Bouaké, Bouaké,15000
1984,17-Mar-84,,Algeria , Egypt,3,1,Third place match,,Stade Félix Houphouët-Boigny, Abidjan,500
1984,18-Mar-84,,Cameroon , Nigeria,3,1,Final,,Stade Félix Houphouët-Boigny, Abidjan,27456
1986,7-Mar-86,,Senegal , Egypt,1,0,Group A,,Cairo International Stadium, Cairo,45000
1986,7-Mar-86,,Ivory Coast , Mozambique,3,0,Group A,,Cairo International Stadium, Cairo,20000
1986,10-Mar-86,,Senegal , Mozambique,2,0,Group A,,Cairo International Stadium, Cairo,30000
1986,10-Mar-86,,Egypt , Ivory Coast,2,0,Group A,,Cairo International Stadium, Cairo,50000
1986,13-Mar-86,,Ivory Coast , Senegal,1,0,Group A,,Cairo International Stadium, Cairo,15000
1986,13-Mar-86,,Egypt , Mozambique,2,0,Group A,,Cairo International Stadium, Cairo,55000
1986,8-Mar-86,,Algeria , Morocco,0,0,Group B,,Alexandria Stadium, Alexandria,12000
1986,8-Mar-86,,Cameroon , Zambia,3,2,Group B,,Alexandria Stadium, Alexandria,20000
1986,11-Mar-86,,Algeria , Zambia,0,0,Group B,,Alexandria Stadium, Alexandria,4000
1986,11-Mar-86,,Cameroon , Morocco,1,1,Group B,,Alexandria Stadium, Alexandria,8000
1986,14-Mar-86,,Morocco , Zambia,1,0,Group B,,Alexandria Stadium, Alexandria,5000
1986,14-Mar-86,,Cameroon , Algeria,3,2,Group B,,Alexandria Stadium, Alexandria,10000
1986,17-Mar-86,,Cameroon , Ivory Coast,1,0,Semifinals,,Alexandria Stadium, Alexandria,12000
1986,17-Mar-86,,Egypt , Morocco,1,0,Semifinals,,Cairo International Stadium, Cairo,95000
1986,20-Mar-86,,Ivory Coast , Morocco,3,2,Third place match,,Cairo International Stadium, Cairo,1000
1986,21-Mar-86,,Egypt , Cameroon,0,0,Final,,Cairo International Stadium, Cairo,120000
1988,13-Mar-88,,Morocco , Zaire,1,1,Group A,,Stade Mohamed V, Casablanca,80000
1988,13-Mar-88,,Ivory Coast , Algeria,1,1,Group A,,Stade Mohamed V, Casablanca,40000
1988,16-Mar-88,,Ivory Coast , Zaire,1,1,Group A,,Stade Mohamed V, Casablanca,45000
1988,16-Mar-88,,Morocco , Algeria,1,0,Group A,,Stade Mohamed V, Casablanca,78000
1988,19-Mar-88,,Algeria , Zaire,1,0,Group A,,Stade Mohamed V, Casablanca,75000
1988,19-Mar-88,,Morocco , Ivory Coast,0,0,Group A,,Stade Mohamed V, Casablanca,80000
1988,14-Mar-88,,Cameroon , Egypt,1,0,Group B,,Stade Moulay Abdellah, Rabat,5000
1988,14-Mar-88,,Nigeria , Kenya,3,0,Group B,,Stade Moulay Abdellah, Rabat,4000
1988,17-Mar-88,,Cameroon , Nigeria,1,1,Group B,,Stade Moulay Abdellah, Rabat,13000
1988,17-Mar-88,,Egypt , Kenya,3,0,Group B,,Stade Moulay Abdellah, Rabat,12000
1988,20-Mar-88,,Cameroon , Kenya,0,0,Group B,,Stade Moulay Abdellah, Rabat,25000
1988,20-Mar-88,,Nigeria , Egypt,0,0,Group B,,Stade Moulay Abdellah, Rabat,30000
1988,23-Mar-88,,Nigeria , Algeria,1,1,Semifinals,Nigeria  win on Penalities 9-8,Stade Moulay Abdellah, Rabat,35000
1988,23-Mar-88,,Morocco , Cameroon,0,1,Semifinals,,Stade Mohamed V, Casablanca,45000
1988,26-Mar-88,,Morocco , Algeria,1,1,Third place match, Algeria win on Penalities 3-4,Stade Mohamed V, Casablanca,10000
1988,27-Mar-88,,Cameroon , Nigeria,1,0,Final,,Stade Mohamed V, Casablanca,50000
1990,2-Mar-90,,Algeria , Nigeria,5,1,Group A,,Stade 5 Juillet 1962, Algiers,85000
1990,2-Mar-90,,Ivory Coast , Egypt,3,1,Group A,,Stade 5 Juillet 1962, Algiers,14000
1990,5-Mar-90,,Nigeria , Egypt,1,0,Group A,,Stade 5 Juillet 1962, Algiers,47000
1990,5-Mar-90,,Algeria , Ivory Coast,3,0,Group A,,Stade 5 Juillet 1962, Algiers,86000
1990,8-Mar-90,,Nigeria , Ivory Coast,1,0,Group A,,Stade 5 Juillet 1962, Algiers,86000
1990,8-Mar-90,,Algeria , Egypt,2,0,Group A,,Stade 5 Juillet 1962, Algiers,86000
1990,3-Mar-90,,Zambia , Cameroon,1,0,Group B,,Stade 19 Mai 1956, Annaba,25000
1990,3-Mar-90,,Senegal , Kenya,0,0,Group B,,Stade 19 Mai 1956, Annaba,13000
1990,6-Mar-90,,Zambia , Kenya,1,0,Group B,,Stade 19 Mai 1956, Annaba,11000
1990,6-Mar-90,,Senegal , Cameroon,2,0,Group B,,Stade 19 Mai 1956, Annaba,22000
1990,9-Mar-90,,Zambia , Senegal,0,0,Group B,,Stade 19 Mai 1956, Annaba,18000
1990,9-Mar-90,,Cameroon , Kenya,2,0,Group B,,Stade 19 Mai 1956, Annaba,13000
1990,12-Mar-90,,Zambia , Nigeria,0,2,Semi-finals,,Stade 19 Mai 1956, Annaba,27000
1990,12-Mar-90,,Algeria , Senegal,2,1,Semi-finals,,Stade 5 Juillet 1962, Algiers,88000
1990,15-Mar-90,,Zambia , Senegal,1,0,Third place match,,Stade 5 Juillet 1962, Algiers,33000
1990,16-Mar-90,16:00,Algeria , Nigeria,1,0,Final,,Stade 5 Juillet 1962, Algiers,105032
1992,12-Jan-92,,Nigeria , Senegal,2,1,Group A,,Stade de l'Amitié, Dakar,60000
1992,14-Jan-92,,Nigeria , Kenya,2,1,Group A,,Stade de l'Amitié, Dakar,5000
1992,16-Jan-92,,Senegal , Kenya,3,0,Group A,,Stade de l'Amitié, Dakar,50000
1992,12-Jan-92,,Cameroon , Morocco,1,0,Group B,,Stade de l'Amitié, Dakar,60000
1992,14-Jan-92,,Morocco , Zaire,1,1,Group B,,Stade de l'Amitié, Dakar,5000
1992,16-Jan-92,,Cameroon , Zaire,1,1,Group B,,Stade de l'Amitié, Dakar,10000
1992,13-Jan-92,,Ivory Coast , Algeria,3,0,Group C,,Stade Aline Sitoe Diatta, Ziguinchor,5000
1992,15-Jan-92,,Ivory Coast , Congo,0,0,Group C,,Stade Aline Sitoe Diatta, Ziguinchor,5000
1992,17-Jan-92,,Algeria , Congo,1,1,Group C,,Stade Aline Sitoe Diatta, Ziguinchor,5000
1992,13-Jan-92,,Zambia , Egypt,1,0,Group D,,Stade Aline Sitoe Diatta, Ziguinchor,5000
1992,15-Jan-92,,Ghana , Zambia,1,0,Group D,,Stade Aline Sitoe Diatta, Ziguinchor,5000
1992,17-Jan-92,,Ghana , Egypt,1,0,Group D,,Stade Aline Sitoe Diatta, Ziguinchor,5000
1992,19-Jan-92,,Nigeria , Zaire,1,0,Quarter-finals,,Stade de l'Amitié, Dakar,10000
1992,19-Jan-92,,Cameroon , Senegal,1,0,Quarter-finals,,Stade de l'Amitié, Dakar,35000
1992,20-Jan-92,,Ivory Coast , Zambia,1,0,Quarter-finals,Ivory Coast  win after extra time ,Stade de l'Amitié, Dakar,3000
1992,20-Jan-92,,Ghana , Congo,2,1,Quarter-finals,,Stade de l'Amitié, Dakar,15000
1992,23-Jan-92,,Ghana , Nigeria,2,1,Semi-finals,,Stade de l'Amitié, Dakar,30000
1992,23-Jan-92,,Cameroon , Ivory Coast,0,0,Semi-finals, Ivory Coast win on Penalities 1-3,Stade de l'Amitié, Dakar,35000
1992,25-Jan-92,,Nigeria , Cameroon,2,1,Third place match,,Stade de l'Amitié, Dakar,2000
1992,26-Jan-92,,Ivory Coast , Ghana,0,0,Final,Ivory Coast  win on Penalities 11-10,Stade de l'Amitié, Dakar,47500
1994,26-Mar-94,,Tunisia , Mali,0,2,Group A,,Stade El Menzah, Tunis,45000
1994,28-Mar-94,,Mali , Zaire,0,1,Group A,,Stade El Menzah, Tunis,8000
1994,30-Mar-94,,Tunisia , Zaire,1,1,Group A,,Stade El Menzah, Tunis,45000
1994,26-Mar-94,,Nigeria , Gabon,3,0,Group B,,Stade El Menzah, Tunis,30000
1994,28-Mar-94,,Egypt , Gabon,4,0,Group B,,Stade Chedli Zouiten, Tunis,6000
1994,30-Mar-94,,Nigeria , Egypt,0,0,Group B,,Stade El Menzah, Tunis,30000
1994,27-Mar-94,,Ivory Coast , Sierra Leone,4,0,Group C,,Stade Olympique de Sousse, Sousse,10000
1994,29-Mar-94,,Zambia , Sierra Leone,0,0,Group C,,Stade Olympique de Sousse, Sousse,6000
1994,31-Mar-94,,Zambia , Ivory Coast,1,0,Group C,,Stade Olympique de Sousse, Sousse,6000
1994,27-Mar-94,,Ghana , Guinea,1,0,Group D,,Stade Olympique de Sousse, Sousse,10000
1994,29-Mar-94,,Senegal , Guinea,2,1,Group D,,Stade Olympique de Sousse, Sousse,6000
1994,31-Mar-94,,Ghana , Senegal,1,0,Group D,,Stade Olympique de Sousse, Sousse,6000
1994,2-Apr-94,,Zaire , Nigeria,0,2,Quarterfinals,,Stade El Menzah, Tunis,2000
1994,2-Apr-94,,Egypt , Mali,0,1,Quarterfinals,,Stade El Menzah, Tunis,3000
1994,3-Apr-94,,Zambia , Senegal,1,0,Quarterfinals,,Stade Olympique de Sousse, Sousse,8000
1994,3-Apr-94,,Ghana , Ivory Coast,1,2,Quarterfinals,,Stade Olympique de Sousse, Sousse,8000
1994,6-Apr-94,,Nigeria , Ivory Coast,2,2,Semifinals,Nigeria  win on Penalities 4-2,Stade El Menzah, Tunis,2000
1994,6-Apr-94,,Zambia , Mali,4,0,Semifinals,,Stade El Menzah, Tunis,2000
1994,10-Apr-94,,Ivory Coast , Mali,3,1,Third place match,,Stade El Menzah, Tunis,15000
1994,10-Apr-94,,Nigeria , Zambia,2,1,Final,,Stade El Menzah, Tunis,25000
